date,easting,northing,easting_dec_deg,northing_dec_deg,sitename,slough,site,plot_type,plot_replicate,slough_plot_type,water_depth_m,micro_dm_gm2,micro_afdm_gm2,micro_chla_ugg,micro_chla_gm2,micro_chla_gm3,micro_tp_conc_ugg,micro_tp_stock_gm2,micro_tp_stock_gm3,micro_tn_conc_ugg,micro_tn_stock_gm2,total_macro_dm_gm2,total_macro_dm_gm3,total_macro_tp_conc_ugg,total_macro_tp_stock_gm2,total_macro_tp_stock_gm3,total_macro_tn_conc_ugg,total_macro_tn_stock_gm2,total_clajam_dm_gm2,total_clajam_dm_gm3,total_clajam_tp_conc_ugg,total_clajam_tp_stock_gm2,total_clajam_tp_stock_gm3,total_clajam_tn_conc_ugg,total_clajam_tn_stock_gm2,clajam_collection_flag,total_elecel_dm_gm2,total_elecel_dm_gm3,total_elecel_tp_conc_ugg,total_elecel_tp_stock_gm2,total_elecel_tp_stock_gm3,total_elecel_tn_conc_ugg,total_elecel_tn_stock_gm2,elecel_collection_flag,total_prod_bio_gm2,total_prod_bio_gm3,total_prod_tp_conc_ugg,total_prod_tp_stock_gm2,total_prod_tp_stock_gm3,total_prod_tn_conc_ugg,total_prod_tn_stock_gm2
2021-06-14,534728,2847604,25.746027,-80.653732,SRS1d,srs,1,ridge,1,srs_ridge,0.29,210.44,111.61,219.66,0.014,0.05,144.79,0.016,0.0552,12364.62,1379958,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534727,2847607,25.746054,-80.653742,SRS1d,srs,1,ridge,2,srs_ridge,0.32,195.9,90.57,310.58,0.016,0.0511,104.93,0.01,0.0313,10057.18,910872.36,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534726,2847599,25.745982,-80.653752,SRS1d,srs,1,ridge,3,srs_ridge,0.27,174.35,84.64,257.46,0.011,0.0426,92.33,0.008,0.0296,11508.82,974089.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534728,2847612,25.746099,-80.653732,SRS1d,srs,1,slough,1,srs_slough,0.33,164.24,73.51,152.43,0.009,0.0265,145.54,0.011,0.0333,9886.15,726703.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534731,2847610,25.746081,-80.653702,SRS1d,srs,1,slough,2,srs_slough,0.37,328.47,145.84,250.3,0.018,0.0478,192.38,0.028,0.0757,6437.33,938793.15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-06-14,534732,2847601,25.746,-80.653692,SRS1d,srs,1,slough,3,srs_slough,0.27,86.92,39.03,226.81,0.014,0.0533,179.94,0.007,0.0259,53238.03,2077985.21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Live but no dead macrophyte data collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-08-06,521524,2825830,25.549656,-80.785738,SRS2,srs,2,ridge,1,srs_ridge,0.34,2.01,1.26,117.8,0.002,0.0059,214.58,0,0,16529.73,20872.28,848.03,2472.391,1834.8,0.138,0.4035,61805.21,5004683,791.24,2306.822,369.87,0.115,0.3365,6167.25,1581405,Live and dead macrophyte sample collected,23.73,69.184,330,0.008,0.0223,12512.39,289537,Live and dead macrophyte sample collected,848.03,2472.397,2049.39,0.139,0.4035,78334.94,5025556
2021-08-06,521505,2825833,25.549683,-80.785927,SRS2,srs,2,ridge,2,srs_ridge,0.37,31.22,16.72,295.26,0.019,0.0499,138.3,0.002,0.0054,14899.41,249122.34,768.4,2060.054,1585.65,0.107,0.2858,1585.65,4353595,754.92,2023.914,328.67,0.1,0.2691,7061.85,1796606,Live and dead macrophyte sample collected,2.88,7.721,278.14,0.001,0.0021,12576.77,36221,Live and dead macrophyte sample collected,768.42,2060.103,1723.95,0.109,0.2858,16485.06,4602718
2021-08-06,521504,2825829,25.549647,-80.785937,SRS2,srs,2,ridge,3,srs_ridge,0.38,48.13,26.93,256.43,0.018,0.0467,186.21,0.005,0.0132,13868.64,373425.69,867.8,2283.684,2482.03,0.148,0.3897,91315.05,5960632,832.18,2189.947,402.3,0.137,0.3605,7130.46,1878591,Live and dead macrophyte sample collected,8.34,21.947,221.58,0.002,0.0045,12905.77,100665,Live and dead macrophyte sample collected,867.82,2283.731,2668.24,0.153,0.3899,105183.69,6334058
2021-08-06,521530,2825819,25.549557,-80.785678,SRS2,srs,2,slough,1,srs_slough,0.43,65.61,32.81,286.06,0.026,0.0604,175.85,0.006,0.014,13567.48,445178.92,286.69,662.102,2688.74,0.171,0.3951,100626.76,4207125,18.95,43.764,344.33,0.007,0.0151,-9999,-9999,Species not present to collect,166.55,384.642,1146.4,0.134,0.3084,16404.23,2683568,Live and dead macrophyte sample collected,286.72,662.162,2864.59,0.177,0.3952,114194.24,4652304
2021-08-06,521522,2825834,25.549692,-80.785758,SRS2,srs,2,slough,2,srs_slough,0.41,101.42,48.73,148.85,0.005,0.013,143.47,0.007,0.0171,12630.19,615479.98,386.36,951.626,1666.4,0.102,0.2501,77143.28,3626457,1.6,3.941,183.27,0,0.0004,-9999,-9999,Live but no dead macrophyte data collected,306.3,754.433,513.85,0.077,0.1885,9002.14,2652751,Live and dead macrophyte sample collected,386.37,951.639,1809.87,0.109,0.2503,89773.47,4241937
2021-08-06,521523,2825837,25.549719,-80.785748,SRS2,srs,2,slough,3,srs_slough,0.39,165.67,80.22,305.47,0.017,0.0448,123.13,0.01,0.0256,12521.36,1004455.6,315.36,816.995,1766.14,0.086,0.2236,84532.94,3284036,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,251.33,651.114,606.47,0.07,0.1824,9816.48,2346826,Live and dead macrophyte sample collected,315.38,817.04,1889.27,0.096,0.2238,97054.3,4288492
2021-08-02,514770,2816805,25.468239,-80.85307,SRS3,srs,3,ridge,1,srs_ridge,0.3,5.38,3.48,107.16,0.003,0.0101,502.65,0.002,0.0067,21693.77,75438.28,830.5,2768.333,864.31,0.112,0.3729,26917.48,4368292,827.61,2758.7,271.71,0.111,0.3703,4602.73,1813708,Live and dead macrophyte sample collected,1.34,4.467,592.6,0.001,0.0026,16473.54,22075,Live and dead macrophyte sample collected,830.5,2768.343,1366.96,0.114,0.373,48611.25,4443730
2021-08-02,514777,2816816,25.468339,-80.853,SRS3,srs,3,ridge,2,srs_ridge,0.23,22.78,15.56,430.12,0.037,0.1591,244.55,0.004,0.0174,19910.63,309779.43,693.79,3016.478,966.34,0.064,0.2784,41063.08,4449311,679.46,2954.174,231.79,0.056,0.2425,6150.74,822723,Live and dead macrophyte sample collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,693.83,3016.637,1210.89,0.068,0.2786,60973.71,4759091
2021-08-02,514785,2816816,25.468338,-80.852921,SRS3,srs,3,ridge,3,srs_ridge,0.17,11.31,7.33,394.54,0.014,0.0828,329.38,0.002,0.0118,21565.2,158050.98,735.34,4250.52,5437.56,0.166,0.9573,94497.37,2340325,671.3,3880.347,260.4,0.076,0.4367,6142.86,1555556,Live and dead macrophyte sample collected,1.3,7.514,721.45,0.001,0.0054,17091.95,22220,Live and dead macrophyte sample collected,735.35,4250.603,5766.94,0.168,0.9574,116062.57,2498376
2021-08-02,514769,2816804,25.46823,-80.85308,SRS3,srs,3,slough,1,srs_slough,0.18,29.59,13.56,322.84,0.028,0.158,341.14,0.005,0.0278,14586.97,197781.9,337.21,1873.389,7134.33,0.105,0.5807,183392.11,3823925,213.78,1187.667,363.66,0.031,0.1736,7408.72,299238,Live and dead macrophyte sample collected,92.45,513.611,468.62,0.043,0.2381,13551.24,1239261,Live and dead macrophyte sample collected,337.24,1873.547,7475.48,0.109,0.5809,197979.08,4021707
2021-08-02,514756,2816809,25.468276,-80.853209,SRS3,srs,3,slough,2,srs_slough,0.24,56.77,24.41,226.81,0.018,0.0756,250.58,0.006,0.025,12593.46,307399.43,195.71,815.458,4507.32,0.074,0.3098,108756.12,2231747,46.92,195.5,403.18,0.011,0.0459,6029.89,56259,Live and dead macrophyte sample collected,125,520.833,787.65,0.044,0.1827,10320,1277513,Live and dead macrophyte sample collected,195.73,815.534,4757.9,0.08,0.31,121349.58,2539147
2021-08-02,514754,2816807,25.468258,-80.853229,SRS3,srs,3,slough,3,srs_slough,0.2,37.66,19.56,624.23,0.043,0.2186,382.15,0.007,0.035,15620.98,305487.87,148.69,758.622,3532.83,0.037,0.1887,124378.71,1533928,55.9,285.204,379.64,0.008,0.0419,7268.08,105678,Live and dead macrophyte sample collected,69.45,354.337,313.58,0.021,0.1093,11481.18,784165,Live and dead macrophyte sample collected,148.73,758.841,3914.99,0.044,0.1891,139999.69,1839415
2021-12-08,534693,2847521,25.745278,-80.654083,SRS1d,srs,1,ridge,1,srs_ridge,0.67,162.04,71.07,149.26,0.011,0.0168,91.45,0.006,0.009,9662.63,686759.44,1138.61,1691.842,2092.93,0.144,0.2145,88809.38,5951005,1061.31,1576.984,256.08,0.11,0.1638,5267.71,1912971,Live and dead macrophyte sample collected,40.85,60.698,656.59,0.027,0.0399,11266.75,460247,Live and dead macrophyte sample collected,1138.62,1691.859,2184.37,0.151,0.2146,98472.01,6637765
2021-12-08,534681,2847524,25.745306,-80.654203,SRS1d,srs,1,ridge,2,srs_ridge,0.67,160.24,58.39,172.15,0.015,0.0224,79.95,0.005,0.0075,8538.14,498532.4,447.48,664.903,1086.51,0.096,0.1432,45393.65,2785045,398.79,592.556,280.81,0.083,0.1232,5621.91,2109623,Live and dead macrophyte sample collected,18.35,27.266,443.04,0.008,0.0121,9333.88,171277,Live and dead macrophyte sample collected,447.5,664.926,1166.46,0.101,0.1432,53931.79,3283577
2021-12-08,534687,2847524,25.745305,-80.654143,SRS1d,srs,1,ridge,3,srs_ridge,0.6,183.34,75.33,128.93,0.014,0.0237,128.51,0.01,0.0167,10433.47,785930.77,775.77,1292.95,1278.84,0.134,0.2232,46501.44,3962059,694.76,1157.933,286.5,0.099,0.1651,5530.8,1907962,Live and dead macrophyte sample collected,54.78,91.3,540.84,0.03,0.0494,9612.1,526551,Live and dead macrophyte sample collected,775.78,1292.974,1407.35,0.144,0.2233,56934.91,4747990
2021-12-08,534700,2847527,25.745332,-80.654013,SRS1d,srs,1,slough,1,srs_slough,0.69,104.54,41.54,158.15,0.014,0.0197,119.64,0.005,0.0072,10001.51,415484.61,352.39,508.499,1663.99,0.075,0.1087,75353.18,2826992,146.8,211.833,136.03,0.008,0.0115,4529.38,150693,Live and dead macrophyte sample collected,144.02,207.821,331.76,0.048,0.0689,7666.98,1104199,Live and dead macrophyte sample collected,352.4,508.519,1783.63,0.08,0.1088,85354.69,3242476
2021-12-08,534697,2847529,25.74535,-80.654043,SRS1d,srs,1,slough,2,srs_slough,0.71,75.53,30.62,81.12,0.008,0.0106,112.1,0.003,0.0042,11744.95,359628.49,201.95,284.437,1416.61,0.057,0.0809,87764.44,1717844,11,15.493,155.18,0.002,0.0024,4092,45012,Live and dead macrophyte sample collected,168.48,237.296,398.69,0.052,0.0734,7615.3,1277771,Live and dead macrophyte sample collected,201.96,284.447,1528.71,0.061,0.081,99509.39,2077473
2021-12-08,534700,2847525,25.745314,-80.654013,SRS1d,srs,1,slough,3,srs_slough,0.71,61.19,24.35,163.67,0.017,0.0237,102.85,0.003,0.0042,10246.69,249515.24,104.21,146.157,2035.42,0.033,0.0459,89841.78,1098604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,49.42,69.313,450.95,0.016,0.0226,6727.3,308851,Live and dead macrophyte sample collected,104.23,146.181,2138.27,0.035,0.0459,100088.47,1348119
2023-06-23,541160,2813512,25.438005,-80.59065,TS/Ph1b,ts,1,ridge,1,ts_ridge,0.18,562.24,159.07,539.64,0.046,0.261,63.81,0.01,0.0556,9013.89,1433809.11,410.23,2304.655,816.52,0.054,0.3018,30841.74,2223121,382.57,2149.262,270.94,0.05,0.2785,7082.98,1252984,Live and dead macrophyte sample collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,410.28,2304.916,880.34,0.064,0.3024,39855.63,3656930
2023-06-23,541150,2813506,25.437951,-80.590749,TS/Ph1b,ts,1,ridge,2,ts_ridge,0.21,883.29,261.02,277.29,0.031,0.1475,65.43,0.017,0.081,9649.18,2518592.96,486.59,2350.692,635.9,0.057,0.2759,21000.06,2586958,461.24,2228.21,258.64,0.052,0.251,6748.61,1220080,Live and dead macrophyte sample collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,486.62,2350.839,701.34,0.074,0.2767,30649.24,5105551
2023-06-23,541137,2813508,25.437969,-80.590879,TS/Ph1b,ts,1,ridge,3,ts_ridge,0.24,528.73,148.9,200.88,0.017,0.0705,47.62,0.007,0.0292,9645.62,1436201.77,476.41,1985.044,2979.87,0.061,0.2541,53420.13,2551216,451.16,1879.843,245.72,0.051,0.2108,7404.29,1428050,Live and dead macrophyte sample collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,476.43,1985.115,3027.49,0.068,0.2544,63065.75,3987418
2023-06-23,541126,2813499,25.437888,-80.590988,TS/Ph1b,ts,1,slough,1,ts_slough,0.11,507.39,153.86,737.87,0.077,0.6774,65.08,0.01,0.0909,9486.18,1459578.02,764.05,6761.523,3278.28,0.128,1.132,120278.05,3418371,263.24,2329.557,279.71,0.032,0.2794,7192.3,676635,Live and dead macrophyte sample collected,118.22,1046.195,491.99,0.027,0.2361,7656.3,809348,Live and dead macrophyte sample collected,764.13,6762.2,3343.36,0.138,1.1329,129764.23,4877949
2023-06-23,541132,2813494,25.437843,-80.590929,TS/Ph1b,ts,1,slough,2,ts_slough,0.12,314.88,102.77,716.42,0.074,0.6002,58.23,0.006,0.05,5838.77,600026.77,305.81,2486.228,646.48,0.025,0.2014,25600.48,4891913,289.65,2354.912,101.16,0.023,0.1883,5182.44,580744,Live and dead macrophyte sample collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,305.88,2486.829,704.71,0.031,0.2019,31439.25,5491939
2023-06-23,541138,2813498,25.437879,-80.590869,TS/Ph1b,ts,1,slough,3,ts_slough,0.12,221.59,76.15,319.62,0.034,0.2944,71.25,0.005,0.0417,9973.94,759503.53,510.61,4440.057,681.17,0.068,0.5872,31250.08,2835146,264.3,2298.22,257.19,0.032,0.2823,6039.22,710696,Live and dead macrophyte sample collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,510.64,4440.351,752.42,0.073,0.5876,41224.02,3594650
2023-06-27,539491,2809784,25.404385,-80.607357,TS/Ph2,ts,2,ridge,1,ts_ridge,0.53,19,9.78,60.48,0.008,0.0144,132.93,0.001,0.0019,14895.83,145723,1015.35,1904.976,5102.11,0.311,0.5829,105051.08,7312555,894.85,1678.893,405.9,0.22,0.4127,7185.21,4134082,Live and dead macrophyte sample collected,4,7.507,420.1,0.001,0.0023,13613.2,38913,Live and dead macrophyte sample collected,1015.36,1904.99,5235.03,0.312,0.5829,119946.91,7458278
2023-06-27,539492,2809783,25.404376,-80.607347,TS/Ph2,ts,2,ridge,2,ts_ridge,0.58,9.4,4.11,177.25,0.026,0.0454,142.09,0.001,0.0017,11911.18,48965.08,864.93,1483.585,13656,1.662,2.8516,211616.75,8842944,464.92,797.457,286.5,0.067,0.1155,7084.63,1804243,Live and dead macrophyte sample collected,33.81,58,421.26,0.008,0.0141,10919.01,325721,Live and dead macrophyte sample collected,864.96,1483.63,13798.09,1.663,2.8516,223527.93,8891909
2023-06-27,539489,2809789,25.40443,-80.607377,TS/Ph2,ts,2,ridge,3,ts_ridge,0.32,289.92,89.78,166.28,0.016,0.0489,64.39,0.006,0.0188,10032,900646.87,510.12,1604.165,8028.35,0.157,0.4949,209797.53,5225071,197.36,620.637,205.55,0.022,0.069,7872.5,950211,Live and dead macrophyte sample collected,137.18,431.37,435.55,0.044,0.1381,12286.91,1457351,Live and dead macrophyte sample collected,510.14,1604.214,8092.74,0.163,0.495,219829.53,6125718
2023-06-27,539492,2809761,25.404177,-80.607348,TS/Ph2,ts,2,slough,1,ts_slough,0.28,106.8,38.22,149.61,0.027,0.0977,77.68,0.003,0.0107,11646.01,445077.25,192.16,693.727,5914.41,0.062,0.2254,136312.26,1662471,2.1,7.581,75.87,0,0.0006,-9999,-9999,Species not present to collect,95.59,345.09,506.17,0.026,0.0943,8373.75,640843,Live and dead macrophyte sample collected,192.19,693.825,5992.09,0.065,0.2255,147958.27,2107548
2023-06-27,539489,2809748,25.40406,-80.607378,TS/Ph2,ts,2,slough,2,ts_slough,0.17,87.13,36.75,66.9,0.011,0.0643,95.07,0.003,0.0176,11442.32,420490.14,295.23,1757.34,2751.99,0.054,0.3223,109681.29,2302306,1.97,11.726,90.52,0,0.0011,-9999,-9999,Species not present to collect,179.98,1071.31,316.31,0.035,0.2085,8259.27,1305377,Live and dead macrophyte sample collected,295.24,1757.405,2847.06,0.058,0.3225,121123.61,2722796
2023-06-27,539482,2809754,25.404114,-80.607448,TS/Ph2,ts,2,slough,3,ts_slough,0.35,88.03,34.37,154.59,0.035,0.1003,78.22,0.003,0.0086,11384.09,391234.32,356.07,1026.138,6092.24,0.085,0.2444,163639.18,20355970,2.12,6.11,130.23,0,0.0008,-9999,-9999,Species not present to collect,210.41,606.369,350.76,0.046,0.1331,6577.64,1215284,Live and dead macrophyte sample collected,356.1,1026.239,6170.45,0.087,0.2444,175023.27,20747204
2023-06-09,533957,2792832,25.251436,-80.662803,TS/Ph3,ts,3,ridge,1,ts_ridge,0.4,14.57,6.6,116.98,0.005,0.0124,148.57,0.001,0.0025,13754.01,90732.43,577.65,1433.367,730.89,0.091,0.225,32534.65,4078331,575.75,1428.653,402.19,0.09,0.2235,10252.47,1820531,Live and dead macrophyte sample collected,-9999,-9999,-9999,-9999,-9999,-9999,-9999,Species not present to collect,577.65,1433.38,879.46,0.092,0.2251,46288.66,4169064
2023-06-09,533962,2792835,25.251463,-80.662753,TS/Ph3,ts,3,ridge,2,ts_ridge,0.41,50.65,18.84,167.24,0.008,0.0203,118.92,0.002,0.0049,13067.42,246144.75,633.66,1556.898,4112.71,0.089,0.2199,94097.44,3445347,589.01,1447.201,231.17,0.049,0.1195,4794.29,798345,Live and dead macrophyte sample collected,10.73,26.372,411.62,0.002,0.0056,8330.76,65565,Live and dead macrophyte sample collected,633.67,1556.918,4231.64,0.092,0.22,107164.86,3691492
2023-06-09,533975,2792841,25.251517,-80.662624,TS/Ph3,ts,3,ridge,3,ts_ridge,0.38,72.22,28.87,144.55,0.007,0.0195,122.02,0.004,0.0105,17001.1,490768.99,729.08,1918.644,946.45,0.12,0.3168,30181.49,4133020,700.54,1843.515,329.15,0.112,0.296,6627.5,2215374,Live and dead macrophyte sample collected,21.24,55.893,520.95,0.008,0.0203,8352.36,152772,Live and dead macrophyte sample collected,729.09,1918.664,1068.46,0.124,0.3169,47182.59,4623789
2023-06-09,533981,2792839,25.251499,-80.662565,TS/Ph3,ts,3,slough,1,ts_slough,0.36,88.68,30.72,276.03,0.013,0.0354,136.73,0.004,0.0111,11845.56,363913.44,253.45,704.04,8570.87,0.091,0.2523,144507.54,2093725,150.98,419.383,330.04,0.023,0.0631,6622.39,414415,Live and dead macrophyte sample collected,78.3,217.496,718.05,0.039,0.1072,8966.61,591155,Live and dead macrophyte sample collected,253.47,704.075,8707.6,0.095,0.2524,156353.1,2457638
2023-06-09,533991,2792831,25.251426,-80.662465,TS/Ph3,ts,3,slough,2,ts_slough,0.42,256.81,86.66,169.13,0.007,0.0176,156.13,0.014,0.0333,11518.95,998271.38,154.72,368.385,5393.53,0.11,0.2621,110183.37,1965477,1.09,2.587,-9999,-9999,-9999,-9999,-9999,Species not present to collect,66.79,159.024,529.02,0.023,0.0545,8410.37,450964,Live and dead macrophyte sample collected,154.73,368.403,5549.65,0.124,0.2624,121702.32,2963749
2023-06-09,533997,2792831,25.251426,-80.662406,TS/Ph3,ts,3,slough,3,ts_slough,0.41,322.46,98.33,200.61,0.009,0.0222,83.43,0.008,0.0195,10079,991092.32,53.79,130.25,5344.66,0.052,0.1261,104085.36,819919,3.75,9.08,16.18,0,0.0001,-9999,-9999,Species not present to collect,13.62,32.986,660.81,0.004,0.0085,8103.12,25552,Live and dead macrophyte sample collected,53.8,130.273,5428.09,0.06,0.1263,114164.36,1811011
